Test #,Epsilon,Sparsity,Noise,Time to Compress,Compression Ratio
16,0.03861893,0.2,0.2,75,0.938271605
1,0.060136084,1,0.02,14573,0.1
2,0.053714917,1,0.08,18899,0.37
3,0.050806353,1,0.1,18612,0.495
4,0.038727221,1,0.2,8558,0.725
5,0.06021473,0.7,0.02,5051,0.408450704
6,0.053367211,0.7,0.08,5454,0.498220641
7,0.050426256,0.7,0.1,5033,0.600732601
8,0.038789919,0.7,0.2,2530,0.76119403
9,0.060458635,0.5,0.02,1598,0.518134715
10,0.052941323,0.5,0.08,1714,0.62244898
11,0.053018913,0.5,0.1,1761,0.653266332
12,0.040397988,0.5,0.2,1024,0.803921569
13,0.061150656,0.2,0.02,83,0.789473684
14,0.05325914,0.2,0.08,168,0.747252747
15,0.055947318,0.2,0.1,60,0.8125
16,0.051006584,0.2,0.2,74,0.876712329
1,0.060252874,1,0.02,14581,0.1
2,0.052907991,1,0.08,19393,0.385
3,0.051010353,1,0.1,18536,0.48
4,0.038765746,1,0.2,8064,0.725
5,0.060147409,0.7,0.02,4612,0.415770609
6,0.053252626,0.7,0.08,4737,0.535315985
7,0.051693722,0.7,0.1,5163,0.581818182
8,0.03814552,0.7,0.2,2766,0.765957447
9,0.060468209,0.5,0.02,1597,0.564102564
10,0.054036942,0.5,0.08,1967,0.582914573
11,0.051162367,0.5,0.1,1670,0.639593909
12,0.039465086,0.5,0.2,1166,0.803738318
13,0.060190668,0.2,0.02,168,0.696629213
14,0.055615466,0.2,0.08,118,0.756097561
15,0.051878732,0.2,0.1,118,0.780487805
16,0.041959629,0.2,0.2,64,0.948717949
1,0.060005805,1,0.02,14669,0.1
2,0.053564075,1,0.08,19401,0.395
3,0.050573047,1,0.1,18632,0.51
4,0.039154961,1,0.2,8481,0.72
5,0.060273165,0.7,0.02,4657,0.423791822
6,0.052816817,0.7,0.08,5431,0.503597122
7,0.051405701,0.7,0.1,4865,0.586080586
8,0.038708636,0.7,0.2,2210,0.755555556
9,0.060346978,0.5,0.02,1769,0.541871921
10,0.052982826,0.5,0.08,1595,0.584615385
11,0.051977041,0.5,0.1,1629,0.634408602
12,0.041655146,0.5,0.2,1431,0.776255708
13,0.060921013,0.2,0.02,106,0.683544304
14,0.056587643,0.2,0.08,118,0.765432099
15,0.054392671,0.2,0.1,94,0.825
16,0.043636969,0.2,0.2,78,0.9
1,0.0601364,1,0.02,16745,0.1
2,0.052924994,1,0.08,20389,0.4
3,0.050844524,1,0.1,19530,0.52
4,0.040659054,1,0.2,9741,0.695
5,0.060395384,0.7,0.02,5044,0.408602151
6,0.053073525,0.7,0.08,4870,0.537313433
7,0.050656458,0.7,0.1,6198,0.592334495
8,0.039375187,0.7,0.2,2481,0.791208791
9,0.060019541,0.5,0.02,1510,0.544502618
10,0.05331547,0.5,0.08,1411,0.615384615
11,0.050975534,0.5,0.1,1879,0.670050761
12,0.038621096,0.5,0.2,1107,0.815533981
13,0.060939196,0.2,0.02,74,0.794520548
14,0.054261642,0.2,0.08,104,0.784810127
15,0.053249686,0.2,0.1,81,0.861111111
16,0.045737951,0.2,0.2,123,0.875
1,0.06017148,1,0.02,15480,0.1
2,0.05323105,1,0.08,20116,0.41
3,0.050176547,1,0.1,20022,0.505
4,0.038361179,1,0.2,8443,0.72
5,0.060286543,0.7,0.02,5661,0.38225256
6,0.052933512,0.7,0.08,5301,0.514492754
7,0.050754493,0.7,0.1,6662,0.585858586
8,0.038627957,0.7,0.2,2884,0.73943662
9,0.060276443,0.5,0.02,1936,0.522167488
10,0.052706905,0.5,0.08,1731,0.606382979
11,0.052131134,0.5,0.1,1748,0.649484536
12,0.03779111,0.5,0.2,1057,0.819047619
13,0.060839856,0.2,0.02,114,0.727272727
14,0.057493335,0.2,0.08,155,0.741573034
15,0.054415552,0.2,0.1,158,0.8
16,0.038370509,0.2,0.2,57,0.962962963
1,0.060083289,1,0.02,15621,0.1
2,0.052752535,1,0.08,20671,0.4
3,0.051178402,1,0.1,20259,0.48
4,0.038208047,1,0.2,8850,0.725
5,0.060120051,0.7,0.02,6091,0.380952381
6,0.052875869,0.7,0.08,5492,0.528985507
7,0.050249161,0.7,0.1,5987,0.589928058
8,0.038991278,0.7,0.2,2888,0.769230769
9,0.060081055,0.5,0.02,1767,0.568627451
10,0.05413289,0.5,0.08,2010,0.56281407
11,0.051816914,0.5,0.1,1819,0.64921466
12,0.039468642,0.5,0.2,993,0.814070352
13,0.060420612,0.2,0.02,184,0.666666667
14,0.053510316,0.2,0.08,153,0.755555556
15,0.054077097,0.2,0.1,145,0.833333333
16,0.040034356,0.2,0.2,101,0.933333333
1,0.060114416,1,0.02,15529,0.1
2,0.052666525,1,0.08,20088,0.41
3,0.051084881,1,0.1,19670,0.5
4,0.039264186,1,0.2,9102,0.715
5,0.060140414,0.7,0.02,5340,0.414035088
6,0.053599864,0.7,0.08,4858,0.525925926
7,0.050861528,0.7,0.1,7092,0.571428571
8,0.040901539,0.7,0.2,3223,0.745644599
9,0.06033685,0.5,0.02,1567,0.554973822
10,0.05360996,0.5,0.08,2269,0.583333333
11,0.050662762,0.5,0.1,2419,0.644859813
12,0.040519803,0.5,0.2,1671,0.791111111
13,0.060694782,0.2,0.02,146,0.744186047
14,0.054864379,0.2,0.08,193,0.747252747
15,0.053406218,0.2,0.1,139,0.825
16,0.045910637,0.2,0.2,82,0.909090909
1,0.060269626,1,0.02,15508,0.1
2,0.053015409,1,0.08,20164,0.395
3,0.050540847,1,0.1,19774,0.5
4,0.039491616,1,0.2,8897,0.72
5,0.060085703,0.7,0.02,4922,0.412811388
6,0.053361538,0.7,0.08,5743,0.519855596
7,0.051026511,0.7,0.1,6236,0.563380282
8,0.039145747,0.7,0.2,3427,0.767676768
9,0.060252302,0.5,0.02,1963,0.512077295
10,0.053565029,0.5,0.08,1411,0.612021858
11,0.05249309,0.5,0.1,1587,0.628865979
12,0.040383645,0.5,0.2,984,0.816753927
13,0.060772438,0.2,0.02,101,0.759493671
14,0.056216174,0.2,0.08,117,0.759493671
15,0.054304736,0.2,0.1,84,0.794117647
16,0.049511639,0.2,0.2,50,0.895522388
1,0.060068542,1,0.02,15514,0.1
2,0.052961035,1,0.08,20422,0.4
3,0.050799361,1,0.1,19469,0.505
4,0.038709174,1,0.2,9059,0.715
5,0.060271784,0.7,0.02,4206,0.444444444
6,0.053434811,0.7,0.08,5689,0.505415162
7,0.050157257,0.7,0.1,5191,0.592592593
8,0.038854289,0.7,0.2,3265,0.744027304
9,0.060376497,0.5,0.02,1638,0.556701031
10,0.053570678,0.5,0.08,2079,0.568720379
11,0.051439893,0.5,0.1,1623,0.648648649
12,0.042205082,0.5,0.2,1104,0.801980198
13,0.061115975,0.2,0.02,57,0.769230769
14,0.056020716,0.2,0.08,128,0.756756757
15,0.052810803,0.2,0.1,73,0.849315068
16,0.0429788,0.2,0.2,41,0.957746479
1,0.060215554,1,0.02,15376,0.1
2,0.053371078,1,0.08,20513,0.405
3,0.050845479,1,0.1,19683,0.51
4,0.038999409,1,0.2,9123,0.71
5,0.060156807,0.7,0.02,5320,0.395759717
6,0.053161252,0.7,0.08,6622,0.52233677
7,0.050914863,0.7,0.1,6083,0.568345324
8,0.039199143,0.7,0.2,2716,0.76534296
9,0.060473662,0.5,0.02,1720,0.54822335
10,0.0530643,0.5,0.08,2055,0.588235294
11,0.050674429,0.5,0.1,1812,0.646153846
12,0.041165261,0.5,0.2,1177,0.790243902
13,0.060761568,0.2,0.02,211,0.701030928
14,0.056073006,0.2,0.08,126,0.8
15,0.052941888,0.2,0.1,80,0.811594203
16,0.045956525,0.2,0.2,90,0.886075949
1,0.06024087,1,0.02,15665,0.1
2,0.053161484,1,0.08,20222,0.41
3,0.050232711,1,0.1,20013,0.51
4,0.039337513,1,0.2,9312,0.71
5,0.060203545,0.7,0.02,5474,0.418439716
6,0.053348754,0.7,0.08,4887,0.535849057
7,0.050500621,0.7,0.1,5980,0.577464789
8,0.039233042,0.7,0.2,2720,0.769784173
9,0.060505932,0.5,0.02,1914,0.54
10,0.053016247,0.5,0.08,1755,0.614583333
11,0.051117419,0.5,0.1,1975,0.66
12,0.038090867,0.5,0.2,1208,0.798165138
13,0.060603264,0.2,0.02,181,0.712643678
14,0.055740962,0.2,0.08,113,0.769230769
15,0.051745206,0.2,0.1,125,0.795180723
16,0.04600099,0.2,0.2,49,0.942857143
1,0.060086217,1,0.02,15811,0.1
2,0.052863468,1,0.08,21157,0.4
3,0.050741904,1,0.1,20203,0.49
4,0.039368379,1,0.2,9399,0.735
5,0.060005366,0.7,0.02,5974,0.401360544
6,0.053147168,0.7,0.08,5998,0.503597122
7,0.050675484,0.7,0.1,5472,0.591240876
8,0.038653514,0.7,0.2,3324,0.775919732
9,0.06023374,0.5,0.02,2364,0.513761468
10,0.053980299,0.5,0.08,2070,0.578431373
11,0.05043125,0.5,0.1,1525,0.655913978
12,0.039661177,0.5,0.2,1587,0.771300448
13,0.060244772,0.2,0.02,151,0.712643678
14,0.054353599,0.2,0.08,100,0.783783784
15,0.055823545,0.2,0.1,91,0.789473684
16,0.03884001,0.2,0.2,87,0.891566265
1,0.06008142,1,0.02,15559,0.1
2,0.052616871,1,0.08,20872,0.4
3,0.050085155,1,0.1,19687,0.515
4,0.038031793,1,0.2,8816,0.73
5,0.06034387,0.7,0.02,4921,0.424460432
6,0.053601608,0.7,0.08,6252,0.486111111
7,0.050827004,0.7,0.1,6798,0.574394464
8,0.038705246,0.7,0.2,2671,0.781021898
9,0.060176411,0.5,0.02,1889,0.541871921
10,0.053143875,0.5,0.08,1734,0.584615385
11,0.051057673,0.5,0.1,2319,0.622641509
12,0.03818354,0.5,0.2,873,0.808510638
13,0.06054492,0.2,0.02,143,0.764044944
14,0.055756274,0.2,0.08,144,0.735632184
15,0.052305476,0.2,0.1,199,0.787234043
16,0.045406966,0.2,0.2,54,0.888888889
1,0.060109669,1,0.02,15710,0.1
2,0.053187866,1,0.08,20907,0.405
3,0.050331149,1,0.1,19718,0.505
4,0.038802071,1,0.2,9454,0.72
5,0.060077188,0.7,0.02,5046,0.42599278
6,0.053048391,0.7,0.08,7078,0.496688742
7,0.050975698,0.7,0.1,5702,0.58781362
8,0.040394371,0.7,0.2,2737,0.774907749
9,0.060570878,0.5,0.02,1706,0.54822335
10,0.054110734,0.5,0.08,2315,0.561904762
11,0.051091294,0.5,0.1,1814,0.659793814
12,0.042188224,0.5,0.2,1211,0.780952381
13,0.060198144,0.2,0.02,133,0.731707317
14,0.055709695,0.2,0.08,107,0.769230769
15,0.054048172,0.2,0.1,90,0.873239437
16,0.046773753,0.2,0.2,119,0.847058824
1,0.060080654,1,0.02,15442,0.1
2,0.053365902,1,0.08,20362,0.375
3,0.050596432,1,0.1,19689,0.495
4,0.039654398,1,0.2,8931,0.715
5,0.06004083,0.7,0.02,4138,0.426966292
6,0.053378286,0.7,0.08,5493,0.516363636
7,0.051653886,0.7,0.1,5429,0.5917603
8,0.0389636,0.7,0.2,2202,0.775665399
9,0.060159548,0.5,0.02,1538,0.582417582
10,0.054285574,0.5,0.08,1436,0.602150538
11,0.050360432,0.5,0.1,2279,0.613207547
12,0.03949132,0.5,0.2,1176,0.814814815
13,0.060684671,0.2,0.02,81,0.805555556
14,0.0577786,0.2,0.08,59,0.78125
15,0.050881021,0.2,0.1,96,0.831168831
16,0.040614405,0.2,0.2,66,0.913580247
1,0.060061755,1,0.02,15973,0.1
2,0.052582576,1,0.08,20705,0.42
3,0.050153707,1,0.1,20551,0.505
4,0.039628065,1,0.2,9533,0.715
5,0.060257182,0.7,0.02,4626,0.431226766
6,0.053191294,0.7,0.08,6745,0.491349481
7,0.051444687,0.7,0.1,5593,0.574545455
8,0.037758224,0.7,0.2,2971,0.771929825
9,0.060080799,0.5,0.02,2510,0.490740741
10,0.053660289,0.5,0.08,1960,0.606060606
11,0.051934768,0.5,0.1,2633,0.606334842
12,0.040781682,0.5,0.2,1291,0.798076923
13,0.060966877,0.2,0.02,168,0.743589744
14,0.056833603,0.2,0.08,126,0.784810127
15,0.05604087,0.2,0.1,129,0.8
16,0.04009056,0.2,0.2,70,0.894117647
1,0.060030885,1,0.02,16048,0.1
2,0.053121195,1,0.08,20902,0.395
3,0.050225772,1,0.1,19882,0.52
4,0.03892492,1,0.2,9807,0.715
5,0.060170064,0.7,0.02,4761,0.433212996
6,0.052789342,0.7,0.08,6412,0.50174216
7,0.05105149,0.7,0.1,6136,0.573426573
8,0.039181326,0.7,0.2,2423,0.772727273
9,0.060131142,0.5,0.02,1642,0.545454545
10,0.053603474,0.5,0.08,1963,0.61
11,0.05048898,0.5,0.1,1678,0.648648649
12,0.040002888,0.5,0.2,1005,0.81372549
13,0.060153505,0.2,0.02,89,0.763157895
14,0.055541304,0.2,0.08,111,0.795180723
15,0.053837381,0.2,0.1,118,0.779220779
16,0.045460993,0.2,0.2,56,0.931506849
1,0.060223648,1,0.02,15440,0.1
2,0.053304171,1,0.08,20912,0.36
3,0.050561892,1,0.1,19813,0.515
4,0.038826062,1,0.2,9206,0.72
5,0.06028353,0.7,0.02,5279,0.401408451
6,0.053562638,0.7,0.08,6035,0.484210526
7,0.05024868,0.7,0.1,6019,0.553633218
8,0.039133414,0.7,0.2,3031,0.75177305
9,0.060333136,0.5,0.02,1705,0.527363184
10,0.053063265,0.5,0.08,1734,0.605405405
11,0.050656391,0.5,0.1,1857,0.659793814
12,0.039898899,0.5,0.2,1081,0.803921569
13,0.060768685,0.2,0.02,168,0.696629213
14,0.055822398,0.2,0.08,99,0.736842105
15,0.053850187,0.2,0.1,126,0.810126582
16,0.041848487,0.2,0.2,56,0.961038961
1,0.060096309,1,0.02,15625,0.105
2,0.052702551,1,0.08,20293,0.4
3,0.050560586,1,0.1,19716,0.51
4,0.037839169,1,0.2,8842,0.74
5,0.06019783,0.7,0.02,5095,0.404255319
6,0.052933048,0.7,0.08,6363,0.513888889
7,0.050955183,0.7,0.1,5983,0.568421053
8,0.040166074,0.7,0.2,2728,0.759856631
9,0.060685563,0.5,0.02,1629,0.542713568
10,0.052998425,0.5,0.08,1848,0.581280788
11,0.050619293,0.5,0.1,1901,0.656565657
12,0.041381959,0.5,0.2,982,0.828282828
13,0.060926566,0.2,0.02,104,0.753246753
14,0.053980959,0.2,0.08,201,0.744680851
15,0.052945693,0.2,0.1,111,0.794871795
16,0.039524158,0.2,0.2,63,0.891566265
1,0.060080578,1,0.02,15424,0.105
2,0.052626023,1,0.08,20755,0.4
3,0.050738454,1,0.1,19640,0.51
4,0.037960815,1,0.2,8850,0.71
5,0.06020842,0.7,0.02,4129,0.441860465
6,0.053272937,0.7,0.08,5602,0.516129032
7,0.05073622,0.7,0.1,6593,0.557491289
8,0.04033069,0.7,0.2,2530,0.762962963
9,0.060126506,0.5,0.02,1575,0.554347826
10,0.054270332,0.5,0.08,2543,0.586046512
11,0.052120183,0.5,0.1,2096,0.634146341
12,0.039670849,0.5,0.2,906,0.797927461
13,0.060666113,0.2,0.02,88,0.783783784
14,0.055499066,0.2,0.08,85,0.773333333
15,0.053943621,0.2,0.1,127,0.765432099
16,0.039056925,0.2,0.2,43,0.929577465
1,0.060087127,1,0.02,15849,0.1
2,0.052749083,1,0.08,20875,0.415
3,0.05099702,1,0.1,20185,0.515
4,0.039010409,1,0.2,8845,0.725
5,0.060166754,0.7,0.02,6039,0.383561644
6,0.054064386,0.7,0.08,6828,0.506849315
7,0.050610311,0.7,0.1,7461,0.573333333
8,0.037545685,0.7,0.2,2908,0.777385159
9,0.060263958,0.5,0.02,1652,0.542713568
10,0.053557891,0.5,0.08,2386,0.587677725
11,0.05195741,0.5,0.1,1991,0.660098522
12,0.039336871,0.5,0.2,1045,0.805970149
13,0.060836922,0.2,0.02,121,0.714285714
14,0.055262604,0.2,0.08,68,0.848484848
15,0.054555509,0.2,0.1,53,0.895522388
16,0.041359346,0.2,0.2,58,0.918918919
1,0.060068811,1,0.02,15993,0.1
2,0.05292877,1,0.08,21708,0.39
3,0.050362608,1,0.1,20341,0.5
4,0.038556947,1,0.2,9365,0.72
5,0.060370423,0.7,0.02,5656,0.407017544
6,0.053776943,0.7,0.08,5335,0.517985612
7,0.050829925,0.7,0.1,5719,0.597122302
8,0.039123982,0.7,0.2,3217,0.755102041
9,0.06023872,0.5,0.02,1957,0.531400966
10,0.053351449,0.5,0.08,1778,0.602040816
11,0.050554988,0.5,0.1,2303,0.621359223
12,0.039340921,0.5,0.2,900,0.828282828
13,0.060959725,0.2,0.02,165,0.688888889
14,0.05417926,0.2,0.08,118,0.727272727
15,0.053514495,0.2,0.1,110,0.794871795
16,0.040484786,0.2,0.2,90,0.88372093
1,0.060272038,1,0.02,16268,0.1
2,0.052789893,1,0.08,21251,0.42
3,0.050994316,1,0.1,20159,0.495
4,0.03872839,1,0.2,8953,0.73
5,0.060337295,0.7,0.02,6002,0.395833333
6,0.052997743,0.7,0.08,6099,0.527777778
7,0.051493301,0.7,0.1,5703,0.562962963
8,0.038902793,0.7,0.2,3455,0.766101695
9,0.060840681,0.5,0.02,1491,0.556701031
10,0.054680197,0.5,0.08,2046,0.594059406
11,0.051708787,0.5,0.1,1731,0.676923077
12,0.040974449,0.5,0.2,959,0.808290155
13,0.060227324,0.2,0.02,96,0.8
14,0.055533563,0.2,0.08,105,0.775
15,0.05205139,0.2,0.1,102,0.810126582
16,0.047751043,0.2,0.2,73,0.894736842
1,0.060160875,1,0.02,15790,0.1
2,0.053253659,1,0.08,20971,0.395
3,0.050608776,1,0.1,19949,0.5
4,0.03897848,1,0.2,9043,0.73
5,0.060363985,0.7,0.02,4798,0.424460432
6,0.053213897,0.7,0.08,6523,0.475862069
7,0.050417678,0.7,0.1,6499,0.557491289
8,0.039631436,0.7,0.2,2829,0.778181818
9,0.060128216,0.5,0.02,1586,0.540816327
10,0.052849471,0.5,0.08,2551,0.571428571
11,0.05145525,0.5,0.1,1986,0.643564356
12,0.041479707,0.5,0.2,857,0.852631579
13,0.060345721,0.2,0.02,125,0.729411765
14,0.053935667,0.2,0.08,126,0.765432099
15,0.051477783,0.2,0.1,97,0.826666667
16,0.045386299,0.2,0.2,89,0.91954023
1,0.060259302,1,0.02,15994,0.1
2,0.053036951,1,0.08,21556,0.405
3,0.050598027,1,0.1,20978,0.495
4,0.038289702,1,0.2,8828,0.73
5,0.060255116,0.7,0.02,5214,0.411347518
6,0.054031895,0.7,0.08,5368,0.49070632
7,0.050259204,0.7,0.1,8263,0.553333333
8,0.039126565,0.7,0.2,2934,0.750902527
9,0.060388494,0.5,0.02,2164,0.528301887
10,0.053420256,0.5,0.08,2219,0.580952381
11,0.051243473,0.5,0.1,2185,0.669950739
12,0.041099504,0.5,0.2,1022,0.811881188
13,0.061235435,0.2,0.02,117,0.75
14,0.054539996,0.2,0.08,77,0.782608696
15,0.055795637,0.2,0.1,92,0.784810127
16,0.042490606,0.2,0.2,83,0.9
1,0.060153215,1,0.02,16222,0.1
2,0.052966146,1,0.08,21295,0.425
3,0.050723538,1,0.1,20461,0.5
4,0.038746606,1,0.2,9664,0.725
5,0.06008573,0.7,0.02,5255,0.449275362
6,0.053365666,0.7,0.08,5337,0.533333333
7,0.05062988,0.7,0.1,5394,0.590405904
8,0.038618799,0.7,0.2,2663,0.781362007
9,0.060485853,0.5,0.02,2079,0.524752475
10,0.052921837,0.5,0.08,2721,0.572727273
11,0.05269638,0.5,0.1,1706,0.64921466
12,0.042619609,0.5,0.2,966,0.8
13,0.060317955,0.2,0.02,212,0.738095238
14,0.056666415,0.2,0.08,113,0.794871795
15,0.054545424,0.2,0.1,84,0.771428571
16,0.048000618,0.2,0.2,99,0.953488372
1,0.060165815,1,0.02,15502,0.1
2,0.052834703,1,0.08,20424,0.41
3,0.05119873,1,0.1,19563,0.495
4,0.038529732,1,0.2,8518,0.73
5,0.060255565,0.7,0.02,4719,0.410071942
6,0.053357528,0.7,0.08,5876,0.505338078
7,0.050922049,0.7,0.1,6688,0.56462585
8,0.039163832,0.7,0.2,3308,0.776223776
9,0.060124832,0.5,0.02,1560,0.556149733
10,0.053675334,0.5,0.08,1790,0.597938144
11,0.050680981,0.5,0.1,2372,0.625592417
12,0.040888344,0.5,0.2,1337,0.757009346
13,0.060428544,0.2,0.02,121,0.763157895
14,0.054075027,0.2,0.08,128,0.740740741
15,0.053842479,0.2,0.1,116,0.8
16,0.041850561,0.2,0.2,99,0.913043478
,,,,,
,,,AVG:,5716.564583,0.613247026
