Test #,Epsilon,Sparsity,Noise,Time to Compress,Compression Ratio
21,0.06019004,0.7,0.02,54439,0.371959943
22,0.05262656,0.7,0.08,62589,0.464534075
23,0.050447119,0.7,0.1,61196,0.519774011
24,0.037968452,0.7,0.2,48319,0.714285714
25,0.060141335,0.5,0.02,20151,0.451492537
26,0.053500378,0.5,0.08,17818,0.526946108
27,0.050481005,0.5,0.1,20506,0.594174757
28,0.038619995,0.5,0.2,16517,0.746428571
29,0.060240411,0.2,0.02,1043,0.63963964
30,0.054924107,0.2,0.08,777,0.714285714
31,0.050623513,0.2,0.1,988,0.751219512
32,0.040671948,0.2,0.2,672,0.850678733
17,0.060062301,1,0.02,195961,0.0625
18,0.052927321,1,0.08,232792,0.361328125
19,0.050825443,1,0.1,229400,0.44921875
20,0.0377885,1,0.2,164638,0.671875
21,0.060133277,0.7,0.02,59017,0.367688022
22,0.052902364,0.7,0.08,62286,0.45505618
23,0.050415937,0.7,0.1,71095,0.51962111
24,0.038055481,0.7,0.2,44747,0.710306407
25,0.060171575,0.5,0.02,20059,0.451977401
26,0.052726098,0.5,0.08,22730,0.508348794
27,0.050395807,0.5,0.1,18360,0.60362173
28,0.038046529,0.5,0.2,12494,0.771037182
29,0.060643201,0.2,0.02,913,0.682926829
30,0.053182425,0.2,0.08,880,0.713567839
31,0.053075564,0.2,0.1,958,0.739336493
32,0.039338059,0.2,0.2,551,0.880382775
17,0.060029122,1,0.02,200648,0.0625
18,0.052648952,1,0.08,236686,0.369140625
19,0.050755708,1,0.1,228217,0.45703125
20,0.038175915,1,0.2,162074,0.662109375
21,0.060073491,0.7,0.02,56962,0.361613352
22,0.053179168,0.7,0.08,57264,0.465517241
23,0.050707327,0.7,0.1,69218,0.517615176
24,0.037993313,0.7,0.2,41655,0.713467049
25,0.060124979,0.5,0.02,16301,0.474437628
26,0.053350345,0.5,0.08,18069,0.524
27,0.050055532,0.5,0.1,23447,0.576146789
28,0.038498261,0.5,0.2,13605,0.752851711
29,0.060273099,0.2,0.02,766,0.707692308
30,0.054056198,0.2,0.08,947,0.714285714
31,0.052778535,0.2,0.1,940,0.738916256
32,0.04071292,0.2,0.2,918,0.845814978
17,0.060072038,1,0.02,195226,0.0625
18,0.052671224,1,0.08,230470,0.37109375
19,0.050458366,1,0.1,228618,0.451171875
20,0.038536341,1,0.2,166557,0.65234375
21,0.060065287,0.7,0.02,57798,0.359832636
22,0.052995406,0.7,0.08,55704,0.460641399
23,0.050573768,0.7,0.1,57518,0.528735632
24,0.038641701,0.7,0.2,39201,0.706231454
25,0.060080671,0.5,0.02,17974,0.481262327
26,0.053094797,0.5,0.08,23398,0.513661202
27,0.051117281,0.5,0.1,17469,0.586558045
28,0.039548752,0.5,0.2,13354,0.740882917
29,0.060414713,0.2,0.02,903,0.673170732
30,0.053772249,0.2,0.08,718,0.698412698
31,0.052514051,0.2,0.1,666,0.784946237
32,0.041392971,0.2,0.2,553,0.867924528
17,0.060074637,1,0.02,193311,0.0625
18,0.052767654,1,0.08,229481,0.35546875
19,0.050324227,1,0.1,229394,0.451171875
20,0.038397582,1,0.2,165651,0.6640625
21,0.060098578,0.7,0.02,58992,0.348066298
22,0.053095564,0.7,0.08,63047,0.463687151
23,0.050213942,0.7,0.1,60145,0.533715925
24,0.038200717,0.7,0.2,44239,0.712676056
25,0.06009792,0.5,0.02,17062,0.473684211
26,0.053093876,0.5,0.08,21185,0.525911708
27,0.051371779,0.5,0.1,21706,0.588910134
28,0.039217264,0.5,0.2,15425,0.755064457
29,0.060621781,0.2,0.02,1479,0.666666667
30,0.053586034,0.2,0.08,806,0.747474747
31,0.052021752,0.2,0.1,838,0.757575758
32,0.041690297,0.2,0.2,539,0.862944162
17,0.060063333,1,0.02,200435,0.0625
18,0.052829452,1,0.08,238606,0.36328125
19,0.050304986,1,0.1,234006,0.458984375
20,0.038370607,1,0.2,165749,0.66796875
21,0.060132034,0.7,0.02,53403,0.370477569
22,0.052714208,0.7,0.08,64349,0.460674157
23,0.051280207,0.7,0.1,62039,0.519662921
24,0.03851477,0.7,0.2,50391,0.707152497
25,0.060059128,0.5,0.02,18626,0.473786408
26,0.053243819,0.5,0.08,21288,0.524714829
27,0.051457818,0.5,0.1,21989,0.590225564
28,0.039194895,0.5,0.2,15523,0.744444444
29,0.060252293,0.2,0.02,1220,0.669724771
30,0.053917581,0.2,0.08,916,0.701923077
31,0.051096282,0.2,0.1,954,0.745098039
32,0.03997305,0.2,0.2,626,0.863636364
17,0.060061864,1,0.02,196696,0.0625
18,0.052718019,1,0.08,233153,0.37890625
19,0.050145617,1,0.1,230180,0.453125
20,0.038223436,1,0.2,161686,0.669921875
21,0.060064338,0.7,0.02,57848,0.360110803
22,0.0528515,0.7,0.08,58795,0.474964235
23,0.050443529,0.7,0.1,64117,0.526170799
24,0.03797917,0.7,0.2,46326,0.719562244
25,0.060162891,0.5,0.02,16924,0.476
26,0.053019484,0.5,0.08,19670,0.528735632
27,0.050938456,0.5,0.1,19424,0.581532417
28,0.03821624,0.5,0.2,14126,0.758490566
29,0.060279867,0.2,0.02,771,0.683417085
30,0.053178816,0.2,0.08,1361,0.693333333
31,0.050543185,0.2,0.1,932,0.720379147
32,0.040996125,0.2,0.2,577,0.842105263
17,0.060092951,1,0.02,193923,0.0625
18,0.052638993,1,0.08,229272,0.359375
19,0.050578237,1,0.1,227084,0.455078125
20,0.038111565,1,0.2,162211,0.6640625
21,0.060035802,0.7,0.02,59625,0.353909465
22,0.052900874,0.7,0.08,66012,0.44504749
23,0.050983409,0.7,0.1,64136,0.52704577
24,0.039556784,0.7,0.2,41410,0.709117221
25,0.060128866,0.5,0.02,19799,0.454545455
26,0.052987412,0.5,0.08,18355,0.529880478
27,0.051375154,0.5,0.1,19924,0.590733591
28,0.038806544,0.5,0.2,12976,0.756335283
29,0.060167801,0.2,0.02,1421,0.643478261
30,0.054497869,0.2,0.08,831,0.71
31,0.051318435,0.2,0.1,549,0.76300578
32,0.041543361,0.2,0.2,914,0.85840708
17,0.060090233,1,0.02,193043,0.0625
18,0.052769755,1,0.08,228965,0.361328125
19,0.050027305,1,0.1,227360,0.46875
20,0.038316478,1,0.2,163456,0.6640625
21,0.060089125,0.7,0.02,56505,0.359550562
22,0.053106736,0.7,0.08,66627,0.452574526
23,0.050313037,0.7,0.1,60398,0.53769559
24,0.038059318,0.7,0.2,42608,0.725988701
25,0.060045397,0.5,0.02,18355,0.459143969
26,0.053381578,0.5,0.08,20488,0.513307985
27,0.050832862,0.5,0.1,19860,0.578034682
28,0.038855523,0.5,0.2,14071,0.748091603
29,0.060521578,0.2,0.02,980,0.666666667
30,0.054107147,0.2,0.08,656,0.758241758
